Area ;Latitude;Longitude
Abbey Wood;51.4864;0.1109
Aberfeldy Village;51.513;-0.006
Acton, London;51.513519;-0.270661
Acton Green, London;51.510515;-0.262668
Acton Vale, London;51.511;-0.258
Addington, London;51.3583;-0.0305
Addiscombe;51.381;-0.0663
Adelphi, London;51.5091666666667;-0.1225
Agar Town;51.5388888888889;-0.131944444444444
Albany Park, Bexley;51.4264;0.1026
Albertopolis;51.4980555555556;-0.176666666666667
Aldborough Hatch;51.58355;0.10102165
Aldwych;51.5132;-0.1167
Alperton;51.5405;-0.2994
Anerley;51.4147;-0.067
Angel, London;51.5321;-0.1066
Aperfield;51.3069;0.0448
Archway, London;51.566;-0.1338
Ardleigh Green;51.5833;0.2165
Arkley;51.6477;-0.2311
Arnos Grove;51.6163;-0.1286
Ashburton, London;51.387849;-0.067509
Avery Hill;51.451434;0.076128
Bakers Arms;51.575523;-0.012596
Balham;51.4434;-0.1525
Bandonhill;51.3636;-0.133445
Bankside;51.5082;-0.1001
Barking, London;51.54;0.08
Barking Riverside;51.5228;0.1124
Barkingside;51.585833;0.084444
Barnehurst;51.4613;0.169
Barnes, London;51.474;-0.236
Barnes Cray;51.4578;0.196
Barnsbury;51.5442;-0.1171
Barwell, London;51.354725;-0.319215
Battersea;51.46377;-0.16771
Bayswater;51.5095;-0.1929
Beam Park;51.524;0.1685
Beam Reach;51.5199;0.1688
Beckenham;51.408;-0.022
Beckton;51.5146;0.0673
Becontree;51.5487;0.1427
Becontree Heath;51.563595;0.152614
Beddington;51.3734;-0.1241
Bedfont;51.45;-0.44
Bedford Park, London;51.500099;-0.261699
Belgravia;51.49795;-0.15453
Bell Green, London;51.430775;-0.033592
Bellenden Road;51.4687;-0.0726
Bellingham, London;51.4311;-0.0245
Belmont, Harrow;51.6013;-0.31929
Belmont, Sutton;51.34328;-0.20239
Belsize Park;51.5449;-0.1632
Belvedere, London;51.4856;0.1541
Benhilton;51.372;-0.191
Bermondsey;51.4986;-0.0757
Berry's Green;51.3136;0.0621
Berrylands;51.393;-0.287
Bethnal Green;51.5275;-0.066
Bexley;51.441;0.149
Bexley Riverside;51.47;0.17
Bexleyheath;51.459;0.138
Bickley;51.4003;0.0466
Biggin Hill;51.3127;0.0336
Blackfen;51.4508;0.09255
Blackfriars, London;51.512;-0.104
Blackheath, London;51.47;0.01
Blackwall, London;51.5063;-0.0034
Blendon, London;51.447053;0.123575
Bloomsbury;51.5262;-0.1178
Botany Bay, London;51.6765;-0.1232
Bounds Green;51.6064;-0.1246
Bow, London;51.5298;-0.0288
Bow Common;51.51801;-0.021093
Bowes Park;51.601;-0.114
Brackenbury Village;51.499;-0.232
Brent Cross;51.577;-0.219
Brent Park;51.551965;-0.2603
Brentford;51.486;-0.31
Brentford End;51.482;-0.32
Brentham Garden Suburb;51.527007;-0.304877
Brimsdown;51.66;-0.026
Broad Green, London;51.3866;-0.107
Broadfields Estate;51.6268;-0.2732
Broadwater Farm;51.5946;-0.0822
Broadwater Green;51.4938;0.0853
Brockley;51.4529;-0.0345
Brockley Hill;51.63;-0.3
Bromley;51.407;0.021
Bromley-by-Bow;51.5246;-0.017
Bromley Common;51.3841;0.0349
Brompton, London;51.495;-0.164
Brondesbury;51.54567;-0.20597
Brondesbury Park;51.539;-0.21
Brook Green;51.4964;-0.2205
Brunswick Park;51.626;-0.148
Bulls Cross;51.67815;-0.059325
Bullsmoor;51.675941;-0.04735
Burlington Estate;51.5102777777778;-0.141388888888889
Burnt Oak;51.6093;-0.2588
Bush Hill Park;51.6429;-0.0736
Bushey Mead;51.408415;-0.22301
Bushwood, Leytonstone;51.5679;0.0147
Camberwell;51.4736;-0.0912
Cambridge Heath;51.5337;-0.05727
Camden Town;51.541;-0.1433
Canary Wharf;51.505;-0.022
Canbury;51.4172;-0.3015
Cann Hall;51.558;0.012
Canning Town;51.515;0.026
Cannon Hill, Merton;51.400544;-0.217431
Canonbury;51.5437;-0.0883
Canons Park;51.6093;-0.2884
Carshalton;51.3652;-0.1676
Castelnau, London;51.486;-0.233
Castle Green, London;51.533328;0.122395
Catford;51.4452;-0.0207
Central London;51.5073;0.1275
Chadwell Heath;51.5757;0.144
Chalk Farm;51.544;-0.152
Charing Cross;51.5073;-0.12755
Charlton, London;51.487674;0.038992
Charlton Riverside;51.491939;0.037658
Chase Cross;51.601373;0.174419
Cheam;51.36;-0.21
Chelsea Harbour;51.47333;-0.18001
Chelsfield;51.358155;0.1278
Chessington;51.3635;-0.2998
Chinatown, London;51.5111111111111;-0.131388888888889
Chinbrook;51.4316;0.0314
Chingford;51.631;0.016
Chingford Hatch;51.617977;0.00383
Chingford Mount;51.618656;-0.017188
Chislehurst;51.412;0.075
Chiswick;51.4925;-0.2633
Church End, Brent;51.546;-0.251
Church End, Finchley;51.6021;-0.1927
Clapham;51.46;-0.14
Clapham Park;51.455598;-0.138584
Clapton, London;51.5702;-0.0583
Clay Hill, London;51.672633;-0.084213
Clerkenwell;51.52604;-0.103475
Cockfosters;51.6527;-0.156
Coldblow;51.436492;0.165305
Coldharbour, Havering;51.4913;0.1882
Coldharbour Estate;51.4312;0.05209
Colindale;51.593;-0.2479
College Park, London;51.527;-0.233
Collier Row;51.5931;0.1736
Colliers Wood;51.4191;-0.1677
Colney Hatch;51.61054;-0.15575
Coney Hall;51.3699;0.0016
Coombe, Croydon;51.3636111111111;-0.0713888888888889
Coombe, Croydon;51.3623611111111;-0.0713611111111111
Coombe, Croydon;51.3620833333333;-0.0676388888888889
Coombe, Croydon;51.3633;-0.0696
Coombe, Kingston upon Thames;51.41885;-0.26415
Copse Hill;51.418225;-0.233234
Cottenham Park;51.414505;-0.236946
Coulsdon;51.3211;-0.1386
Little Britain Lake;51.5194444444444;-0.489722222222222
Cowley, London;51.528;-0.481
Cranbrook, London;51.568001;0.065532
Cranford, London;51.4766;-0.4079
Cranham;51.561978;0.268006
Crayford;51.4491;0.1812
Creekmouth;51.5169;0.0991
Crews Hill;51.678;-0.097
Cricklewood;51.5548;-0.2176
Crofton, London;51.372097;0.07394913
Crofton Park;51.4523;-0.0333
Crook Log;51.459;0.128
Crooked Billet;51.4213888888889;-0.2275
Crossness;51.508288;0.138295
Crouch End;51.579712;-0.123729
Croydon;51.3727;-0.1099
Crystal Palace, London;51.4203;-0.0705
Cubitt Town;51.49748;-0.00616
Custom House, Newham;51.5076;0.0297
Cyprus, London;51.508983;0.064223
Dagenham;51.5397;0.1422
Dagenham Dock;51.525353;0.143144
Dalston;51.545;-0.07
Dartmouth Park;51.5638;-0.14905
De Beauvoir Town;51.5437;-0.0805
De Beauvoir Town;51.5432;-0.0791
Denmark Hill;51.4678;-0.0902
Dollis Hill;51.5641;-0.2341
Dormers Wells;51.516;-0.364
Downe;51.3359;0.0535
Downham;51.4257;0.0058
Duckett's Green;51.589084;-0.097842
Dulwich;51.4457;-0.0779
Dulwich Village;51.447508;-0.085595
Duppas Hill;51.3672222222222;-0.109722222222222
Ealing;51.5175;-0.2988
Earl's Court;51.490616;-0.195848
Earlsfield;51.4439;-0.1854
East Acton;51.514519;-0.247657
East Barnet;51.643;-0.163
East Dulwich;51.462;-0.084
East End of London;51.5166666666667;-0.05
East Finchley;51.59016;-0.17534
East Ham;51.5323;0.0554
East London;51.553;0.093
East Sheen;51.464;-0.266
East Village, London;51.547375;-0.009656
East Wickham;51.469;0.096
Eastcote;51.5842;-0.3897
Eastfields;51.40844;-0.15396
Eden Park, London;51.3884;-0.0243
Edgware;51.6185;-0.2729
Edmonton, London;51.622;-0.0485
Edmonton, London;51.6154;-0.0708
Eel Pie Island;51.4452;-0.3246
Eia;51.508;-0.163
Elephant and Castle;51.495;-0.101
Elm Park;51.5482;0.1987
Elmstead, London;51.4155;0.0501
Eltham;51.451;0.052
Emerson Park;51.5741;0.2304
Enfield Chase;51.65589;-0.09793
Enfield Highway;51.662;-0.041
Enfield Island Village;51.67;-0.015
Enfield Lock;51.6686;-0.026
Enfield Town;51.6522222222222;-0.0808333333333333
Enfield Wash;51.6688;-0.0396
Epping Forest;51.66;0.05
Epping Forest;;
Erith;51.48;0.1778
Falconwood;51.4596;0.0953
Farnborough, London;51.3591;0.0741
Farringdon, London;51.520905;-0.103675
Feltham;51.4496;-0.4089
Field of the Forty Footsteps;51.5194444444444;-0.126944444444444
Finchley;51.599;-0.187
Finsbury;51.52603;-0.10347
Finsbury Park (area);51.5683;-0.1031
Fish Island, London;51.538768;-0.02385
Fitzrovia;51.518;-0.136
Foots Cray;51.416;0.115
Forest Gate;51.550832;0.02739
Forest Hill, London;51.439189;-0.054063
Forestdale, London;51.345;-0.038
Fortis Green;51.59;-0.162
Forty Hill;51.665748;-0.067274
Fournier Street;51.5194;-0.0721
Freezywater;51.6783;-0.031
Freezywater;51.6759;-0.0306
Friday Hill, London;51.625956;0.007854
Frognal;51.553172;-0.181249
Fulham;51.4828;-0.195
Fullwell Cross;51.593629;0.084994
Fulwell, London;51.434589;-0.347502
Furzedown;51.427;-0.153
Gallows Corner;51.5923;0.2169
Gants Hill;51.577;0.0719
Gidea Park;51.5926;0.2025
Gillette Corner;51.4841;-0.3275
Gipsy Hill;51.4229;-0.0848
Goddington;51.366;0.112
Golders Green;51.5734;-0.1982
Golders Green Estate;51.566;-0.212
Goodmayes;51.55836;0.11192
Gordon Hill, London;51.665018;-0.087065
Gospel Oak;51.55376;-0.14795
Grahame Park;51.602;-0.248
Grange Mills;51.445664;-0.144242
Grange Park, Enfield;51.6493;-0.103
Great North Wood;51.426507;-0.077161
Green Street Green;51.350933;0.088706
Greenford;51.5299;-0.3488
Greengate, London;51.528;0.027
Greenhill, Camden;51.555;-0.175
Greenwich;51.4836111111111;-0.00583333333333333
Greenwich;51.48;0
Greenwich Millennium Village;51.495;0.014
Grove Park, Hounslow;51.482639;-0.320942
Grove Park, Lewisham;51.4313;0.021
Gunnersbury;51.4927;-0.2777
Hackbridge;51.3738;-0.1509
Hackney Central;51.543307;-0.059486
Hackney Downs;51.550818;-0.06182
Hackney Marshes;51.557;-0.03
Hackney Wick;51.541404;-0.02657855
Hacton;51.544018;0.231187
Hadley Wood;51.66205;-0.17245
Haggerston;51.53463;-0.07663
Hainault, London;51.60373;0.08751
Hale End;51.605;0.002
Ham, London;51.438655;-0.325586
Ham, London;51.435;-0.31
Hampstead;51.5541;-0.1744
Hampstead Garden Suburb;51.583;-0.185
Hampton, London;51.422;-0.367
Hampton Hill;51.433086;-0.352014
Hampton Hill;51.42647;-0.35592
Hampton Wick;51.415;-0.31
Hanwell;51.5189;-0.3376
Hanworth;51.431;-0.381
Harefield;51.6034;-0.478
Harlesden;51.536;-0.248
Harlington, London;51.4859;-0.4364
Harmondsworth;51.4865;-0.4796
Harold Hill;51.61;0.2322
Harold Park;51.6;0.243
Harold Wood;51.592;0.2313
Harringay;51.5819;-0.0994
Harrow, London;51.5836;-0.3464
Harrow Garden Village;51.5777777777778;-0.366666666666667
Harrow Weald;51.604;-0.339
Harrow on the Hill;51.565496;-0.332716
Hatch End;51.601;-0.3743
Hatcham;51.472;-0.045
Hatton, London;51.4678;-0.4226
Hatton Garden;51.5201166666667;-0.108408333333333
Havering-atte-Bower;51.6203;0.1877
Haverstock;51.54;-0.16
Hayes, Bromley;51.378;0.0192
Hayes, Hillingdon;51.5127;-0.4211
Headstone, London;51.6013;-0.36324
Heath Park, Havering;51.574438;0.201988
Heathrow (hamlet);51.4673;-0.4529
Hendon;51.5837;-0.2252
Herne Hill;51.4544;-0.0936
Heston;51.4852;-0.3788
Highams Park;51.6059;-0.0151
Highbury;51.552;-0.097
Highgate;51.5716;-0.1448
Hillingdon;51.5329;-0.455
Hither Green;51.4522;0
Holloway, London;51.557;-0.1173
Homerton;51.55212;-0.04704
Honor Oak;51.4506;-0.0516
Horn Park;51.447;0.026
Hornchurch;51.5565;0.2128
Hornchurch Marshes;51.518;0.167
Hornsey;51.587;-0.118
Hounslow;51.4668;-0.375
Hoxton;51.534;-0.085
Ickenham;51.558;-0.4484
Ilford;51.558807;0.085459
Isle of Dogs;51.491;-0.015
Isleworth;51.466;-0.336
Islington;51.544;-0.1027
Jacob's Island;51.5013;-0.0706
Kenley;51.3242;-0.0969
Kennington;51.4813;-0.1197
Kensal Green;51.5308;-0.2248
Kensal Town;51.524;-0.21
Kensington;51.5;-0.19
Kentish Town;51.5447;-0.1459
Kenton, London;51.5878;-0.3086
Keston;51.3625;0.0271
Keston;51.3511068;0.0299549
Keston;51.3506679;0.0287962
Kew;51.4837;-0.278
Kidbrooke;51.465;0.033
Kilburn, London;51.5366;-0.2039
Kings Cross, London;51.5303;-0.1236
Kingsbury, London;51.5826;-0.2743
Kingsland, London;51.543;-0.079
Kingston Vale;51.4294;-0.2513
Kingston upon Thames;51.4103;-0.2995
Knight's Hill (Tulse Hill);51.4439;-0.1
Knight's Hill (West Norwood);51.426989;-0.104907
Knightsbridge;51.5017;-0.1621
Knowledge Quarter, London;51.529;-0.121
Ladbroke Grove;51.5165;-0.2094
Ladywell;51.453;-0.017
Lambeth;51.4903;-0.1193
Lambeth Marsh;51.50434;-0.11283
Lamorbey;51.438333;0.107549
Lampton;51.478109;-0.363268
Lansbury Estate;51.516;-0.018
Lea Bridge;51.5621;-0.0456
Leaves Green;51.335384;0.02952
Lee, London;51.4522;0.0086
Lessness Heath;51.4857;0.15177
Lewisham;51.461;-0.005
Leyton;51.560558;-0.015465
Leyton Grange;51.56425;-0.01911
Leytonstone;51.569;0.01
Lillie Bridge (Fulham);51.49;-0.2
Lillie Bridge (Fulham);51.4873;-0.1961
Limehouse;51.5158;-0.0318
Limmo Peninsula;51.510903;0.008399
Lissenden Gardens;51.55709;-0.14989
Lisson Grove;51.52539;-0.16969
Little Heath, London;51.584323;0.11761
Little Ilford;51.5509;0.0549
Little Portugal, London;51.4741666666667;-0.1225
Little Russia, London;51.608;-0.072
Little Stanmore;51.606;-0.284
Little Venice;51.5216;-0.1821
Little Woodcote;51.337598;-0.159567
Locksbottom;51.3708;0.0608
London Fields;51.541104;-0.059545
Longford, London;51.4777;-0.4943
Longlands;51.4302;0.0854
Loughborough Junction;51.4661;-0.102
Lower Holloway;51.550151;-0.118039
Lower Lea Valley;51.55;-0.0166666666666667
Lower Morden;51.3884;-0.2198
Loxford;51.54807;0.08184
Mabley Green;51.5492;-0.0324
Maida Vale;51.5274;-0.1899
Malden Rushett;51.336769;-0.320285
Manor House, London;51.57182;-0.09671
Manor Park, London;51.55033;0.056219
Mapesbury;51.5517;-0.28056
Maryland, London;51.545;-0.002
Marylebone;51.5177;-0.147
Maze Hill;51.481209;0.003669
Merton Abbey, London;51.41243;-0.18142
Merton Park;51.4106;-0.2017
Middle Park, London;51.445;0.04
Mile End;51.5248;-0.0314
Mile End New Town;51.52;-0.0674
Mill Hill;51.62;-0.23
Mill Meads;51.531174;-0.005515
Millbank;51.4915;-0.1295
Millwall;51.488661;-0.018589
Minories;51.5108;-0.0751
Mitcham;51.4009;-0.1517
Monken Hadley;51.6624;-0.199
Monkhams;51.617;0.026
Monks Orchard;51.3818;-0.0541
Montpelier, London;51.52306;-0.30587
Moorfields;51.518188;-0.088611
Morden;51.4015;-0.1949
Morden Park;51.3936;-0.2052
Mortlake;51.4655;-0.2643
Motspur Park;51.41;-0.25
Mottingham;51.4337;0.0365
Muswell Hill;51.592;-0.143
Nag's Head, London;51.557;-0.117
Neasden;51.5552;-0.2465
New Addington;51.3427;-0.0167
New Cross;51.4709;-0.0337
New Eltham;51.4377;0.07037
New Malden;51.4;-0.252
New Southgate;51.6136;-0.1419
Newbury Park, London;51.5767;0.0862
Newington, London;51.4988;-0.0901
Newington Green;51.5515361111111;-0.0851055555555555
Newyears Green;51.58060074;-0.46005281
Nine Elms;51.48;-0.14
Noak Hill;51.619;0.2327
Norbiton;51.41194;-0.28311
Norbury;51.4092;-0.1083
North Acton;51.528023;-0.257668
North Cray;51.424;0.135
North End, Bexley;51.474;0.177
North End, Fulham;51.4908333333333;-0.206944444444444
North Finchley;51.617;-0.174
North Harrow;51.58394;-0.36324
North Hyde;51.4929;-0.385401
North Kensington;51.523792;-0.219598
North Ockendon;51.54815;0.29924
North Sheen;51.474778;-0.278421
North Wembley;51.556;-0.3042
North Woolwich;51.501;0.058
Northfields, London;51.5;-0.315
Northolt;51.547;-0.362
Northumberland Heath;51.4727;0.1679
Northumberland Park, London;51.602;-0.058
Northwood, London;51.601;-0.4176
Norwood Green;51.5039;-0.3741
Norwood New Town;51.42;-0.092
Notting Hill;51.5096;-0.2043
Nunhead;51.4622;-0.0508
Oakleigh Park;51.626;-0.1716
Oakthorpe Park;51.6146;-0.1056
Oakwood, London;51.6433;-0.1274
Old Coulsdon;51.3018;-0.1143
Old Ford;51.535;-0.022
Old Malden;51.388;-0.256
Old Oak Common;51.5244;-0.2421
Orpington;51.3741;0.0986
Osidge;51.6345;-0.1423
Osterley;51.4848;-0.35
Paddington;51.5172;-0.173
Paddington Green, London;51.5204;-0.17525
Palmers Green;51.6178;-0.1092
Park Royal;51.529088;-0.281267
Parsons Green;51.4738;-0.1991
Peckham;51.4714;-0.0625
Penge;51.417;-0.062
Pentonville;51.532;-0.114
Perivale;51.5383;-0.3192
Perry Vale;51.435;-0.043
Petersham, London;51.446358;-0.303326
Petts Wood;51.3885;0.076
Pimlico;51.4887;-0.1395
Pinner;51.5932;-0.3894
Pitshanger;51.526313;-0.312734
Plaistow, Bromley;51.413369;0.015561
Plaistow, Newham;51.5243;0.0245
Plashet;51.541638;0.045716
Plumstead;51.48699;0.07981
Ponders End;51.646;-0.046
Poplar, London;51.5066;-0.0178
Portpool;51.5193;-0.1127
Pratt's Bottom;51.3397;0.1128
Preston, London;51.570934;-0.294914
Primrose Hill;51.5396;-0.1608
Purley, London;51.3373;-0.1141
Putney;51.4649;-0.2211
Putney Vale;51.44;-0.242
Queen's Park, London;51.5338;-0.2026
Queensbury, London;51.591897;-0.290767
Rainham, London;51.5177;0.1948
Rayners Lane;51.5737;-0.3735
Raynes Park;51.4033;-0.2321
Redbridge, London;51.576;0.052
Richmond, London;51.456;-0.301
Riddlesdown;51.3313;-0.0957
Rise Park;51.596281;0.181285
Roehampton;51.451;-0.243
Romford;51.5768;0.1801
Rosehill, London;51.383;-0.183
Rotherhithe;51.4989;-0.0426
Roundshaw;51.353318;-0.126708
Roxbourne;51.574936;-0.382424
Roxeth;51.57;-0.347
Ruislip;51.576;-0.433
Ruislip Gardens;51.5602;-0.4102
Ruislip Manor;51.566754;-0.407218
Rush Green, London;51.5655;0.176
Ruxley;51.4131;0.1364
Saffron Hill;51.5201666666667;-0.106641666666667
Sanderstead;51.3358;-0.0818
Sands End;51.473;-0.18
Scotch Corner (Knightsbridge);51.501771;-0.160569
Seething Wells;51.39344;-0.3131
Selhurst;51.3995;-0.0747
Selsdon;51.3453;-0.0535
Seven Kings;51.56761;0.09791
Seven Sisters, London;51.582214;-0.073708
Shacklewell;51.554;-0.072
Shadwell;51.5071;-0.0466
Shepherd's Bush;51.5042;-0.2307
Shirley, London;51.3813;-0.0543
Shirley Oaks;51.381076;-0.05697
Shooter's Hill;51.4691;0.0669
Shoreditch;51.526;-0.078
Sidcup;51.4263;0.1024
Silvertown;51.5;0.03
Sipson;51.487;-0.456
Slade Green;51.468;0.189
Smithfield, London;51.519;-0.102
Snaresbrook;51.587027;0.014563
Soho;51.5127777777778;-0.131111111111111
Somers Town, London;51.53097;-0.131498
South Acton, London;51.50019;-0.286235
South Bank;51.508;-0.11
South Bermondsey;51.488135;-0.054652
South Chingford;51.610795;-0.027058
South Croydon;51.3532;-0.0962
South Hackney;51.54314;-0.04743
South Hampstead;51.5424;-0.1734
South Harrow;51.564;-0.35241
South Hornchurch;51.53;0.185
South Kensington;51.4912;-0.1769
South London;51.45;-0.1
South Park, Ilford;51.5566;0.0915
South Ruislip;51.55737;-0.39304
South Tottenham;51.584;-0.073
South Wimbledon;51.415;-0.196
South Woodford;51.593453;0.025717
Southall;51.5121;-0.3779
Southborough, Bromley;51.39;0.0445
Southfields;51.446;-0.195
Southgate, London;51.6316;-0.1265
Southwark Street;51.5055555555556;-0.100277777777778
Spitalfields;51.5166;-0.075
Spring Grove, London;51.476251;-0.338924
Spring Park, Croydon;51.375745;-0.031049
St Ann's, London;51.5813;-0.0852
St George's Fields;51.4986111111111;-0.105
St George in the East (parish);51.51;-0.06
St Giles, London;51.5143;-0.127
St Helier, London;51.38256;-0.18361
St James's;51.5085;-0.133
St John's Wood;51.5361;-0.1751
St Johns, London;51.4694;-0.0222
St Luke's, London;51.525;-0.093
St Margarets, London;51.46;-0.32
St Mary Cray;51.392;0.108
St Paul's Cray;51.3998;0.1067
Stamford Hill;51.5705;-0.0727
Stanmore;51.618;-0.314
Stockwell;51.4633;-0.1204
Stoke Newington;51.5615;-0.0731
Stonebridge, London;51.541184;-0.2638
Strand, London;51.5114;-0.119
Strand-on-the-Green;51.4847;-0.2788
Stratford, London;51.5423;-0.00256
Strawberry Hill, London;51.4381;-0.335
Streatham;51.4279;-0.1235
Streatham Park;51.428;-0.142
Stroud Green;51.57653;-0.1095
Sudbury, London;51.5537;-0.3199
Sudbury Hill;51.554;-0.337
Sulhamstead Estate, Chiswick;51.49;-0.25
Summerstown, London;51.431966;-0.184568
Sundridge, London;51.4137;0.0221
Surbiton;51.394;-0.307
Surrey Quays;51.492;-0.0445
Sutton, London;51.3656;-0.1963
Swan Island, London;51.4391666666667;-0.331111111111111
Sydenham, London;51.4254;-0.0544
Sydenham Hill;51.4329;-0.069
Telegraph Hill, Lewisham;51.466;-0.044
Temple, London;51.512;-0.111
Temple Fortune;51.582;-0.198
Thames View Estate;51.528239;0.107597
Thamesmead;51.504;0.1261
The Burroughs;51.5888;-0.2283
The Hale;51.62;-0.26
The Hyde;51.5822;-0.2478
The Wrythe;51.3741666666667;-0.165555555555556
Thornton Heath;51.4002;-0.1086
Three Mills;51.5273;-0.0075
Tokyngton;51.5476;-0.277
Tolworth;51.3839;-0.2807
Tooting;51.428;-0.165
Tooting Bec;51.4286;-0.1666
Tottenham;51.605;-0.058
Tottenham Hale;51.588333;-0.059722
Tower Hill;51.5085;-0.0782
Tufnell Park;51.557;-0.134
Tulse Hill;51.4452;-0.1091
Turnham Green;51.4919444444444;-0.266111111111111
Twickenham;51.449;-0.337
Tyburn;51.5133333333333;-0.160277777777778
Upminster;51.555743;0.251239
Upminster Bridge;51.5577;0.2397
Upper Edmonton;51.614;-0.063
Upper Holloway;51.566;-0.131
Upper Norwood;51.4196;-0.0877
Upper Walthamstow;51.58734;0.00223
Upton, Bexley;51.459;0.13612
Upton Park, London;51.533043;0.036472
Upton Park, London;51.5350722222222;0.0419722222222222
Uxbridge;51.5404;-0.4778
Victoria, London;51.496;-0.143
Vyner Street;51.5315;-0.05566
Waddon;51.3643;-0.1125
Walham Green;51.48;-0.195
Wall End;51.530773;0.066884
Wallington, London;51.3647;-0.1403
Walthamstow;51.59;0
Walworth;51.4898;-0.0905
Wandsworth;51.455;-0.192
Wanstead;51.577792;0.028589
Wapping;51.5073;-0.061
Waterloo, London;51.5013;-0.112
Wealdstone;51.595697;-0.33519
Well Hall;51.45703;0.0492
Welling;51.4594;0.1097
Wembley;51.5528;-0.2979
Wembley Park;51.56314;-0.27929
Wennington, London;51.5061;0.2189
West Acton;51.522519;-0.272668
West Brompton;51.4861;-0.1944
West Drayton;51.5043;-0.4646
West Dulwich;51.43333;-0.08333
West Ealing;51.51898;-0.31498
West End of London;51.5133333333333;-0.128611111111111
West Green, London;51.5864;-0.0902
West Hackney;51.56;-0.07
West Ham;51.5347;0.00769
West Hampstead;51.5543;-0.1888
West Harrow;51.57971;-0.35338
West Hendon;51.578;-0.24
West India Quay;51.5066666666667;-0.0222222222222222
West Kensington;51.4907;-0.2065
West Norwood;51.427025;-0.095539
West Twyford;51.538026;-0.284252
West Wickham;51.3765;-0.0193
Westbourne, London;51.516;-0.197
Westbourne Green;51.524178;-0.201423
Westcombe Park;51.48402;0.018458
Westminster;51.4947222222222;-0.135277777777778
Whetstone, London;51.626;-0.1715
Whipps Cross;51.581539;0.000476
White City, London;51.5126;-0.2275
Whitechapel;51.5165;-0.075
Whitehall;51.504167;-0.126389
Whitton, London;51.4488;-0.3513
Willesden;51.5468;-0.2295
Wimbledon, London;51.422;-0.208
Wimbledon Chase;51.41;-0.211666666666667
Wimbledon Park;51.438734;-0.2052
Wood Green;51.5981;-0.1149
Woodcote, London;51.33463;-0.1375
Woodcote Green;51.348475;-0.146687
Woodford, London;51.60475;0.02979
Woodford Bridge;51.606504;0.055747
Woodford Green;51.605;0.02
Woodford Wells;51.615645;0.028861
Woodlands, London;51.469568;-0.337465
Woodside Park;51.617;-0.185
Woolwich;51.488;0.063
Worcester Park;51.3752;-0.239
World's End, Enfield;51.652;-0.107
World's End, Kensington and Chelsea;51.482;-0.181
Yeading;51.5303;-0.3916
Yiewsley;51.512619;-0.47261
